CONFIG_ETUDE;Centre;N_Cyril;config;acq;Proto;fant;Type_centre;N_Patients;Utilisation;rmq_utilisation;Marque;Modele;num_camera;Modele_simple;Annee_Installation;Collimateur;modele_colli;facteur_stenope;NaI_CZT;Taille_Cristal;Dimensions FOV;Pixel;Protocole;Geometrie_Fantome;Volume;Conditionnement;Fantome;Type_fantome;Commentaire_Fantome;Distance_Source;cale;cale_new;Distance;Radionucleide;Radionucleide_simple;T_min;l;Justesse;Source_Constance;Calibre;A_necessaire;A_Prep;Heure_Prep;A_seringue_vide;Heure_seringue_vide;Heure_acq;delta_t_prep;delta_t_seringue;A_acq;A_acq_corr;TC;Nom_Protocole;Duree;Kcps;Zoom;Matrice;Energie;Fenetre_spectro;Calibrage_Patient;Calibrage_Facteur;Geometrie_Cali_F;Nom_Console;Nom_PRG;Facteur_calibrage;Contourage;Seuil;Nb_kCps_ROI;Nb_kCps_BGRD;BGRD_O_N;Indice_Thyroidien ;Nom_Fichier_DICOM;Remarques;Unnamed: 1;PatientName;PatientID;StudyDate (YYMMDD);AcquisitionDate (YYMMDD);AcquisitionTime (hhmmss);Modality;SeriesDescription;ManufacturerModelName;ProtocolName;PixelSpacing (mm);Table Height;Table Traverse;taille Matrice X;taille Matrice Y;ActualFrameDuration (s);Acquisition time (s);Counts Accumulated;Energie window name;Energie(KeV);Collimateur Type;Collimateur Name;Volume Theorique (ml);activite theorique (MBq); Seuil(% max)_5%;region_5%;Min (kCps)_F_5%;Max(kCps)_F_5%;mean(kCps)_F_5%;median(kCps)_F_5%;Coups Totaux(kCps)_F_5%;Nombre de Pixel_F_5%;CV(%)_F_5%;Rcentre de gravite(mm)_F_5%;surface(mm^2)_F_5%;sensibilite (Cps/(MBq.s))_5%; Seuil(% max)_10%;region_10%;Min (kCps)_F_10%;Max(kCps)_F_10%;mean(kCps)_F_10%;median(kCps)_F_10%;Coups Totaux(kCps)_F_10%;Nombre de Pixel_F_10%;CV(%)_F_10%;Rcentre de gravite(mm)_F_10%;surface(mm^2)_F_10%;sensibilite (Cps/(MBq.s))_10%; Seuil(% max)_15%;region_15%;Min (kCps)_F_15%;Max(kCps)_F_15%;mean(kCps)_F_15%;median(kCps)_F_15%;Coups Totaux(kCps)_F_15%;Nombre de Pixel_F_15%;CV(%)_F_15%;Rcentre de gravite(mm)_F_15%;surface(mm^2)_F_15%;sensibilite (Cps/(MBq.s))_15%; Seuil(% max)_20%;region_20%;Min (kCps)_F_20%;Max(kCps)_F_20%;mean(kCps)_F_20%;median(kCps)_F_20%;Coups Totaux(kCps)_F_20%;Nombre de Pixel_F_20%;CV(%)_F_20%;Rcentre de gravite(mm)_F_20%;surface(mm^2)_F_20%;sensibilite (Cps/(MBq.s))_20%; Seuil(% max)_25%;region_25%;Min (kCps)_F_25%;Max(kCps)_F_25%;mean(kCps)_F_25%;median(kCps)_F_25%;Coups Totaux(kCps)_F_25%;Nombre de Pixel_F_25%;CV(%)_F_25%;Rcentre de gravite(mm)_F_25%;surface(mm^2)_F_25%;sensibilite (Cps/(MBq.s))_25%; Seuil(% max)_30%;region_30%;Min (kCps)_F_30%;Max(kCps)_F_30%;mean(kCps)_F_30%;median(kCps)_F_30%;Coups Totaux(kCps)_F_30%;Nombre de Pixel_F_30%;CV(%)_F_30%;Rcentre de gravite(mm)_F_30%;surface(mm^2)_F_30%;sensibilite (Cps/(MBq.s))_30%; Seuil(% max)_35%;region_35%;Min (kCps)_F_35%;Max(kCps)_F_35%;mean(kCps)_F_35%;median(kCps)_F_35%;Coups Totaux(kCps)_F_35%;Nombre de Pixel_F_35%;CV(%)_F_35%;Rcentre de gravite(mm)_F_35%;surface(mm^2)_F_35%;sensibilite (Cps/(MBq.s))_35%; Seuil(% max)_40%;region_40%;Min (kCps)_F_40%;Max(kCps)_F_40%;mean(kCps)_F_40%;median(kCps)_F_40%;Coups Totaux(kCps)_F_40%;Nombre de Pixel_F_40%;CV(%)_F_40%;Rcentre de gravite(mm)_F_40%;surface(mm^2)_F_40%;sensibilite (Cps/(MBq.s))_40%; SAM (kCps);sensibilite SAM (Cps/(MBq.s)));CDMnorm (%);LimiteCDM2STD
1;11;387;1;1;Std;IRSN-3;CHU;200;Routine;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Standardis¶?;I3;3;Thyroide;;;;;cale GT;;8;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;5;5.34;06/10/2020 16:49;0.3;06/10/2020 17:46;06/10/2020 18:28;100;43;4.6;4.6;0.6;THYROIDE/THYROIDE I123/FIXATION;300;;2;256x256;159;20%;;;;XelerisDR;Fixation thyroide;72.96;Manuel;-;98.366;92.523375;O;0.92;11_S_GC6_LI_I3;;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;182848;NM;F12_S_GC6_LI_I3;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;300;182848;173795;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.016;0.303;0.106068616;0.091136719;94.295;889;0.69256772;189.1985936;1085.294765;68.32971014;10;Fantome thyroide;0.031;0.303;0.125343015;0.114808594;90.623;723;0.54349538;189.3017587;882.6412992;65.66884058;15;Fantome thyroide;0.046;0.303;0.138351351;0.129011719;87.023;629;0.458791299;189.3754274;767.8857223;63.06014493;20;Fantome thyroide;0.061;0.303;0.148503559;0.138480469;83.459;562;0.40056032;189.3133988;686.0918536;60.47753623;25;Fantome thyroide;0.076;0.303;0.159665314;0.150316406;78.715;493;0.343924103;189.4046675;601.8563769;57.03985507;30;Fantome thyroide;0.091;0.303;0.167543624;0.159785156;74.892;447;0.307730301;189.4133262;545.6993925;54.26956522;35;Fantome thyroide;0.107;0.303;0.178481865;0.173988281;68.894;386;0.262596812;189.6203495;471.2303479;49.92318841;40;Fantome thyroide;0.122;0.303;0.185586207;0.178722656;64.584;348;0.236179692;189.5818152;424.8397955;46.8;95.33204938;69.0811952;0.147723333;1
1;11;384;1;2;Std;IRSN-10;CHU;;;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Standardis¶?;I10;8;Thyroide;;;;;cale GT;;8;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;5;5.52;06/10/2020 17:20;0;06/10/2020 17:00;06/10/2020 18:46;87;107;5.12;5.12;0.61;THYROIDE/THYROIDE I123/FIXATION;300;;2;256x256;159;20%;;;;XelerisDR;Fixation thyroide;72.96;Manuel;-;109.004;100.9952;O;0.9;11_S_GC6_LI_I10;;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;184623;NM;F12_S_GC6_LI_I10;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;300;184623;187884;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.011;0.217;0.073212796;0.063574219;105.28;1438;0.705800638;192.269949;1755.516166;68.54166667;10;Fantome thyroide;0.022;0.217;0.08859015;0.082222656;100.727;1137;0.534751241;192.4474366;1388.054159;65.57747396;15;Fantome thyroide;0.033;0.217;0.097436181;0.092394531;96.949;995;0.451597192;192.5443808;1214.69999;63.11783854;20;Fantome thyroide;0.044;0.217;0.104936652;0.099175781;92.764;884;0.389825345;192.6721669;1079.190745;60.39322917;25;Fantome thyroide;0.055;0.217;0.110513682;0.104261719;88.853;804;0.349854252;192.7634954;981.526424;57.84700521;30;Fantome thyroide;0.066;0.217;0.118331897;0.112738281;82.359;696;0.301146607;192.8098172;849.679591;53.61914063;35;Fantome thyroide;0.076;0.217;0.123702875;0.119519531;77.438;626;0.271012529;192.9729738;764.2233103;50.41536458;40;Fantome thyroide;0.087;0.217;0.131117978;0.126300781;70.017;534;0.233993508;193.1419372;651.9093413;45.58398438;103.0584;67.0953125;0.35958039;1
1;11;385;1;3;Std;IRSN-15;CHU;;;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Standardis¶?;I15;11;Thyroide;;;;;cale GT;;8;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;5;5.38;06/10/2020 17:18;0.1;06/10/2020 17:45;06/10/2020 18:52;95;68;4.86;4.86;0.6;THYROIDE/THYROIDE I123/FIXATION;300;;2;256x256;159;20%;;;;XelerisDR;Fixation thyroide;72.96;Manuel;-;105.098;94.81514286;O;0.89;11_S_GC6_LI_I15;;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;185219;NM;F12_S_GC6_LI_I15;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;300;185219;174507;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.008;0.156;0.053235326;0.048140625;99.763;1874;0.696752549;193.9892059;2287.786715;68.42455418;10;Fantome thyroide;0.016;0.156;0.064735772;0.061546875;95.55;1476;0.517542026;194.1311378;1801.906719;65.53497942;15;Fantome thyroide;0.024;0.156;0.070811828;0.066421875;92.197;1302;0.437208484;194.2330388;1589.486821;63.23525377;20;Fantome thyroide;0.032;0.156;0.075393039;0.072515625;88.813;1178;0.384043439;194.3339726;1438.107124;60.91426612;25;Fantome thyroide;0.039;0.156;0.079193129;0.076171875;85.291;1077;0.345381332;194.5348798;1314.805919;58.49862826;30;Fantome thyroide;0.047;0.156;0.083721875;0.079828125;80.373;960;0.304477062;194.7387318;1171.97185;55.1255144;35;Fantome thyroide;0.055;0.156;0.088660287;0.084703125;74.12;836;0.266067183;194.7813106;1020.592152;50.83676269;40;Fantome thyroide;0.063;0.156;0.093848315;0.089578125;66.82;712;0.231227233;195.0755605;869.2124551;45.82990398;96.75003704;66.35805009;0.484131763;1
1;11;386;1;4;Std;IRSN-20;CHU;;;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Standardis¶?;I20;19;Thyroide;;;;;cale GT;;8;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;5;5.6;06/10/2020 17:08;0;06/10/2020 17:00;06/10/2020 19:09;121;129;5.04;5.04;0.61;THYROIDE/THYROIDE I123/FIXATION;300;;2;256x256;159;20%;;;;XelerisDR;Fixation thyroide;72.96;Manuel;-;117.938;108.3257395;O;0.98;11_S_GC6_LI_I20;;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;190916;NM;F12_S_GC6_LI_I20;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;300;190916;191829;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.007;0.139;0.044439044;0.037464844;113.364;2551;0.726917111;196.454915;3114.27103;74.97619048;10;Fantome thyroide;0.014;0.139;0.056152242;0.052667969;107.7;1918;0.514188868;196.5948597;2341.502091;71.23015873;15;Fantome thyroide;0.021;0.139;0.061456805;0.058097656;103.862;1690;0.433191144;196.6893073;2063.158777;68.69179894;20;Fantome thyroide;0.028;0.139;0.065800792;0.063527344;99.754;1516;0.374205075;196.8071531;1850.738879;65.97486772;25;Fantome thyroide;0.035;0.139;0.069844624;0.066785156;94.849;1358;0.326312355;196.9879248;1657.851846;62.73082011;30;Fantome thyroide;0.042;0.139;0.073772539;0.071128906;89.191;1209;0.28508924;197.1036949;1475.952048;58.98875661;35;Fantome thyroide;0.049;0.139;0.077820585;0.075472656;82.412;1059;0.247960255;197.2093213;1292.831447;54.50529101;40;Fantome thyroide;0.056;0.139;0.081764706;0.080902344;75.06;918;0.216070652;197.298754;1120.698081;49.64285714;107.7646486;71.27291577;0.356765746;1
1;11;388;1;5;Std;IRSN-30;CHU;;;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Standardis¶?;I30;30;Thyroide;;;;;cale GT;;8;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;5;5.68;06/10/2020 17:07;0;06/10/2020 17:00;06/10/2020 19:15;129;136;5.08;5.08;0.6;THYROIDE/THYROIDE I123/FIXATION;300;;2;256x256;159;20%;;;;XelerisDR;Fixation thyroide;72.96;Manuel;-;111.002;97.5759;O;0.88;11_S_GC6_LI_I30;;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;191541;NM;F12_S_GC6_LI_I30;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;300;191541;180026;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.005;0.1;0.027700541;0.019140625;112.575;4064;0.857731562;196.1457282;4961.347497;73.86811024;10;Fantome thyroide;0.01;0.1;0.041023403;0.038671875;103.42;2521;0.512227011;196.2642965;3077.646909;67.86089239;15;Fantome thyroide;0.015;0.1;0.045041949;0.044140625;99.858;2217;0.425836205;196.3208041;2706.52249;65.52362205;20;Fantome thyroide;0.02;0.1;0.0478235;0.047265625;96.46;2017;0.373110362;196.3530324;2462.361688;63.29396325;25;Fantome thyroide;0.025;0.1;0.050677135;0.050390625;91.979;1815;0.325595008;196.2883672;2215.759278;60.35367454;30;Fantome thyroide;0.03;0.1;0.053472906;0.051953125;86.84;1624;0.283454038;196.2855477;1982.585712;56.9816273;35;Fantome thyroide;0.035;0.1;0.056230021;0.055078125;80.915;1439;0.246591764;196.2135564;1756.73697;53.09383202;40;Fantome thyroide;0.04;0.1;0.0591296;0.058203125;73.912;1250;0.211891669;196.2553259;1526.005013;48.49868766;101.2044053;66.40709009;-0.004570874;1
1;11;390;1;6;Std;Seringue;CHU;;;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Standardis¶?;Ser;3;Seringue;;;;;cale GT;;8;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;5;5.78;06/10/2020 17:14;;;06/10/2020 19:33;139;;5.12;5.12;0.73;THYROIDE/THYROIDE I123/FIXATION;300;;2;256x256;159;20%;;;;XelerisDR;Fixation thyroide;72.96;Manuel;-;121.48;115.1264;O;1.03;11_S_GC6_LI_Ser;;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;193306;NM;F12_S_GC6_LI_Ser;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;300;193306;213423;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.018;0.343;0.133189831;0.111207031;117.873;885;0.715490173;194.650899;1080.411549;76.74023438;10;Fantome thyroide;0.035;0.343;0.158204451;0.146042969;113.749;719;0.559476896;194.6247779;877.7580832;74.05533854;15;Fantome thyroide;0.052;0.343;0.173349057;0.164800781;110.25;636;0.477967937;194.6312121;776.4313504;71.77734375;20;Fantome thyroide;0.069;0.343;0.189846847;0.188917969;105.365;555;0.398516983;194.7400283;677.5462255;68.59700521;25;Fantome thyroide;0.086;0.343;0.200625247;0.196957031;101.717;507;0.349581856;194.7230705;618.9476331;66.22200521;30;Fantome thyroide;0.103;0.343;0.211423913;0.210355469;97.255;460;0.305055244;194.740401;561.5698446;63.31705729;35;Fantome thyroide;0.121;0.343;0.219488263;0.221074219;93.502;426;0.273677988;194.6755465;520.0625083;60.87369792;40;Fantome thyroide;0.138;0.343;0.229997382;0.231792969;87.859;382;0.236167843;194.7646331;466.3471318;57.19986979;116.9563333;76.14344618;0.071807273;1
1;11;389;1;7;Std;Routine;CHU;;;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Standardis¶?;Rou;0.2;cupule;non;Cupule;Cupule de 1 ml;;cale GT;;10;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;5;5.81;06/10/2020 17:26;0;06/10/2020 17:00;06/10/2020 19:45;139;165;5.14;5.14;0.66;THYROIDE/THYROIDE I123/FIXATION;300;;2;256x256;159;20%;;;;XelerisDR;Fixation thyroide;72.96;Manuel;-;111.461;107.0447143;O;0.95;11_S_GC6_LI_Rou;;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;194522;NM;F12_S_GC6_LI_Rou;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;300;194522;201144;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.078;1.549;0.491688995;0.356996094;102.763;209;0.800999968;192.8449198;255.1480381;66.64267185;10;Fantome thyroide;0.155;1.549;0.613436709;0.502214844;96.923;158;0.619047296;192.7964781;192.8870336;62.85538262;15;Fantome thyroide;0.236;1.549;0.688679104;0.574824219;92.283;134;0.528774595;192.8377786;163.5877373;59.8463035;20;Fantome thyroide;0.32;1.549;0.767168142;0.671636719;86.69;113;0.447214714;192.8343752;137.9508531;56.21919585;25;Fantome thyroide;0.39;1.549;0.825585859;0.768449219;81.733;99;0.395579528;192.8768723;120.859597;53.00453956;30;Fantome thyroide;0.465;1.549;0.892847059;0.841058594;75.892;85;0.339682037;192.8058415;103.7683409;49.21660182;35;Fantome thyroide;0.544;1.549;0.934545455;0.865261719;71.96;77;0.308087771;192.8457304;94.00190877;46.66666667;40;Fantome thyroide;0.639;1.549;1.0022;0.949972656;65.143;65;0.261281249;192.9116381;79.35226065;42.2457847;105.8921765;68.67196918;0.059695716;1
1;11;380;1;8;Local;IRSN-3;CHU;;;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Local;I3;3;Thyroide;;;;;cale;cale maison;26;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;;5.34;06/10/2020 16:49;0.3;06/10/2020 17:46;06/10/2020 18:35;106;49;4.58;4.58;0.42;THYROIDE/THYROIDE I123/FIXATION;180;;2;256x256;159;20%;non;oui;cupule ¶? 26 cm;XelerisDR;Fixation thyroide;72.96;Manuel;-;56.761;54.49966667;O;0.91;11_L_GC6_LI_I3;conditions dacquisition locales des images patients;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;183456;NM;F12_L_GC6_LI_I3;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;180;183456;77495;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.006;0.114;0.037678375;0.029835938;54.709;1452;0.718511381;190.06148;1772.607423;66.36220281;10;Fantome thyroide;0.012;0.114;0.045251082;0.039632813;52.265;1155;0.559122831;190.1298287;1410.028632;63.39762251;15;Fantome thyroide;0.018;0.114;0.050770408;0.046757813;49.755;980;0.463082289;190.2129746;1196.38793;60.35298399;20;Fantome thyroide;0.023;0.114;0.054487414;0.051210938;47.622;874;0.406987765;190.1464917;1066.982705;57.76564774;25;Fantome thyroide;0.029;0.114;0.058823916;0.055664063;44.765;761;0.347906033;190.1990296;929.0318516;54.30009704;30;Fantome thyroide;0.035;0.114;0.063142857;0.061898438;41.548;658;0.294591422;190.2811525;803.2890386;50.39786511;35;Fantome thyroide;0.04;0.114;0.066394872;0.066351563;38.841;585;0.258056526;190.2985225;714.1703459;47.11426492;40;Fantome thyroide;0.046;0.114;0.070104536;0.069914063;35.543;507;0.218690866;190.2901522;618.9476331;43.11377972;54.88527869;66.57602946;0.084252144;1
1;11;377;1;9;Local;IRSN-10;CHU;;;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Local;I10;8;Thyroide;;;;;cale;;26;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;;5.52;06/10/2020 17:20;0;06/10/2020 17:00;06/10/2020 18:43;83;103;5.13;5.13;0.45;THYROIDE/THYROIDE I123/FIXATION;180;;2;256x256;159;20%;non;oui;cupule ¶? 26 cm;XelerisDR;Fixation thyroide;72.96;Manuel;-;62.614;59.60020952;O;0.88;11_L_GC6_LI_I10;conditions dacquisition locales des images patients;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;184242;NM;F12_L_GC6_LI_I10;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;180;184242;83845;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.005;0.098;0.02974003;0.024882813;60.402;2031;0.701777246;193.1981457;2479.452944;65.41260559;10;Fantome thyroide;0.01;0.098;0.035809583;0.033304688;57.546;1607;0.539668108;193.2789324;1961.832044;62.31968811;15;Fantome thyroide;0.015;0.098;0.0405;0.038664063;54.432;1344;0.435915621;193.3511504;1640.760589;58.94736842;20;Fantome thyroide;0.02;0.098;0.043862245;0.041726563;51.582;1176;0.371452468;193.5567493;1435.665516;55.86094867;25;Fantome thyroide;0.025;0.098;0.047013619;0.046320313;48.33;1028;0.318654995;193.6320681;1254.986522;52.33918129;30;Fantome thyroide;0.03;0.098;0.050294451;0.049382813;44.41;883;0.270136187;193.9188596;1077.969941;48.09400043;35;Fantome thyroide;0.035;0.098;0.053115033;0.050914063;40.633;765;0.233027141;194.0847508;933.9150677;44.00368204;40;Fantome thyroide;0.04;0.098;0.055983051;0.053976563;36.333;649;0.200446214;194.1674586;792.3018025;39.34697856;59.93555556;64.90746757;0.457608162;1
1;11;378;1;10;Local;IRSN-15;CHU;;;;GE;Discovery 870 DR;16;GC6;2018;PARA;LEHR;;NaI;0.95;54x40;1.105;Local;I15;11;Thyroide;;;;;cale;;26;I-123;I;793.404;0.000873637;-0.44%;Cs-137;I-123;;5.38;06/10/2020 17:18;0.1;06/10/2020 17:45;06/10/2020 18:58;100;73;4.84;4.84;0.43;THYROIDE/THYROIDE I123/FIXATION;180;;2;256x256;159;20%;non;oui;cupule ¶? 26 cm;XelerisDR;Fixation thyroide;72.96;Manuel;-;58.48;55.32200772;O;0.87;11_L_GC6_LI_I15;conditions dacquisition locales des images patients;0;Mesures_GT_Thyroide^Centre_12^^^;12_ABC;20201006;20201006;185806;NM;F12_L_GC6_LI_I15;Tandem_870_DR;User&THYROIDE&THYROIDE I123;[1.104900. 1.104900];1002.3;473.4;256;256;180;185806;77664;I123_EM;159;PARA;LEHR;a determiner;a rentrer;5;Fantome thyroide;0.004;0.078;0.022917141;0.019804688;56.422;2462;0.701475807;194.9299236;3005.619473;64.76354454;10;Fantome thyroide;0.008;0.078;0.02784216;0.025898438;53.624;1926;0.530976377;195.0676192;2351.268523;61.55188246;15;Fantome thyroide;0.012;0.078;0.03121683;0.028945313;50.821;1628;0.435368827;195.174312;1987.468928;58.33448118;20;Fantome thyroide;0.016;0.078;0.03370918;0.031992188;48.103;1427;0.375508904;195.2902767;1742.087322;55.21464646;25;Fantome thyroide;0.02;0.078;0.036028823;0.033820313;45;1249;0.328110071;195.6193425;1524.784208;51.65289256;30;Fantome thyroide;0.024;0.078;0.038676443;0.036867188;40.881;1057;0.282345934;195.9918554;1290.389839;46.92493113;35;Fantome thyroide;0.028;0.078;0.041322361;0.039304688;36.405;881;0.242917104;196.3045793;1075.528333;41.78719008;40;Fantome thyroide;0.032;0.078;0.04381044;0.041742188;31.894;728;0.211699426;196.6965965;888.7453193;36.60927456;55.9100411;64.17589657;0.828167503;1
